Metric,PreMean,PostMean,tStat,pValue,CohensD,Wilcoxon_p
ThetaBeta,2.83159401,2.54682695,1.5955273519048,0.145058738777051,-0.504550050111615,0.322265625
AlphaBeta,1.09638512,1.41205804,-2.07846064224733,0.0674332161619018,0.657266965651794,0.048828125
PAC,0.000221525324246125,0.000133198045967237,1.02262256537557,0.333186424410665,-0.323381649327125,0.6953125
Alpha,21.1478296,24.4001622,-2.20122630643017,0.0552300100952834,0.696088877379909,0.064453125
Beta,19.3571094,17.6740127,0.923569072153656,0.379805787046339,-0.292058184449394,0.193359375
Gamma,9.0388129,6.6221251,1.3808806884389,0.200636904166467,-0.436672815240827,0.130859375
