Feature,MeanPre,MeanPost,pValue,tStat
AFz_alpha,48.0310243588404,44.1246172791715,0.371137921801847,0.96645983641014
AFz_beta,14.9037792589524,14.1296699379506,0.537026712092479,0.65454824795574
AFz_gamma,3.86320415905243,2.59664946708516,0.280452650174099,1.18600555784011
AFz_theta,14.7854759907114,15.7258448897205,0.376323751677896,-0.955279564824915
F5_alpha,38.5824694757878,33.918094353632,0.494851500111208,0.726561713834695
F5_beta,19.9110284616356,17.2614600051655,0.212560932703926,1.39467859687167
F5_gamma,7.75735412979477,6.0145767690535,0.0837712705284631,2.07100151360092
F5_theta,13.4953284139894,13.7826922214345,0.844050878696058,-0.205400223670684
FCz_alpha,62.1152952142146,54.5394902400652,0.324665907699695,1.07264489403384
FCz_beta,20.7208486909223,19.1967492287778,0.453659038667899,0.80102737683554
FCz_gamma,4.24641002665139,3.30976262373918,0.399094182225315,0.907557978708455
FCz_theta,21.8854259181732,20.1510190525548,0.403623342563207,0.898316128416212
Fpz_alpha,38.3232275912879,34.7724284929514,0.298725206076846,1.1374495491886
Fpz_beta,14.1978295665692,11.3029641903696,0.17487347991049,1.53838867000263
Fpz_gamma,4.97811763057492,2.8363928622515,0.118022527091935,1.82364666585733
Fpz_theta,11.675736743601,12.6068479243438,0.262529096290951,-1.23634835716247
Fz_alpha,56.6188561692568,51.5357936069644,0.40408345434753,0.897381670465801
Fz_beta,18.2470694617583,17.5491716759489,0.654426642376303,0.470778458655184
Fz_gamma,3.99099234163374,3.02966012888489,0.389270490245237,0.927881841297996
Fz_theta,18.5260656168674,18.9554300475259,0.766215789851077,-0.311146682518874
