epoch_index,decision,reaction_time,reward
0,stay,0.6203515999950469,192
1,stay,0.5229332000017166,166
2,stay,0.5627061000268441,146
3,stay,0.388129700004356,139
4,stay,0.5628239999932703,107
5,stay,0.472386200010078,81
6,leave,0.7426366999861784,0
7,stay,0.7902495999878738,194
8,stay,0.4252566999930423,164
9,stay,0.4650963000021875,141
10,stay,0.5227174999890849,126
11,stay,0.4585557999962475,106
12,stay,0.4531845999881625,87
13,leave,0.4023198999930173,0
14,stay,0.3668525000102818,184
15,stay,0.3570694999943953,175
16,stay,0.4327928000129759,141
17,stay,1.6078488000202924,123
18,stay,0.4034014999924693,108
19,stay,0.3907579999940935,99
20,leave,0.3651130000071134,0
21,stay,0.4676617000077385,195
22,stay,0.4035516000003554,170
23,stay,0.3809106999833602,159
24,stay,0.4423650999960955,135
25,stay,0.4121106000093277,108
26,stay,0.6402321999776177,91
27,stay,0.6675082999863662,71
28,leave,0.5350992000021506,0
29,stay,0.5514624000061303,197
30,stay,0.5279635000042617,168
31,stay,0.5060802999942098,146
32,stay,0.3999795000127051,122
33,stay,0.3978962000110186,108
34,stay,0.6144438999763224,89
35,leave,0.5568744000047445,0
36,stay,0.7303070000198204,196
37,stay,0.4135483000136446,170
38,stay,0.6620469999907073,148
39,stay,0.4113297000003513,133
40,stay,0.5557143000187352,106
41,stay,0.4013223000220023,81
42,leave,0.430699899996398,0
43,stay,0.4191658000054303,190
44,stay,0.3818542000080924,169
45,stay,0.3525353999866638,144
46,stay,0.5225965999998152,122
47,stay,0.4813191000139341,119
48,stay,0.5427438000042457,90
49,leave,0.5184931999829132,0
50,stay,0.5684649999893736,184
51,stay,0.408283400000073,167
52,stay,0.4193922000122256,143
53,stay,0.4526388000231236,124
54,stay,0.4121503000205848,117
55,leave,0.3571783000079449,0
56,stay,0.3779029000143055,186
57,stay,0.3515067000116687,169
58,stay,0.3454642000142485,152
59,stay,0.4406978999904822,130
60,stay,0.38404459998128,103
61,stay,0.7010407999914605,100
62,stay,0.5106999999843538,72
63,stay,0.4248791000281926,50
64,leave,0.495770999987144,0
65,stay,0.454882699996233,188
66,stay,0.3565213000110816,161
67,stay,0.3227426999947056,158
68,stay,0.3926483000104781,131
69,stay,0.5280395000008866,118
70,stay,0.4234477000136394,86
71,leave,0.3869107999780681,0
72,stay,0.3404761999845505,186
73,stay,0.3441866000066511,167
74,stay,0.4173035999992862,147
75,stay,0.3596056999813299,137
76,stay,0.4329318999953102,119
77,stay,0.3853156999975908,99
78,stay,0.3346564999956172,62
79,stay,0.3600886999920476,43
80,stay,0.3428377999807708,29
81,leave,0.4737243999843485,0
82,stay,0.5069498999800999,187
83,stay,0.4694744999869726,169
84,stay,0.4767073999973945,146
85,stay,0.4490506000001915,123
86,stay,0.4301826000155415,115
87,stay,0.3850384000106714,93
88,leave,0.4479418999981135,0
89,stay,0.47498440000345,196
90,stay,0.3759039000142365,180
91,stay,0.4011982000083662,151
92,stay,0.4103011999977752,124
93,stay,0.360834099992644,101
94,stay,0.3433417000051122,85
95,stay,0.353919399989536,63
96,stay,0.4400945999950636,58
97,leave,0.5336818999785464,0
98,stay,0.3928420000011101,181
