epoch_index,decision,reaction_time,reward
0,stay,0.0,92
1,stay,1.3058744000009028,85
2,stay,2.3287685999966925,76
3,stay,1.76383199999691,61
4,stay,1.0148413999995682,59
5,leave,1.0790823999996064,0
6,stay,1.1449133999994956,99
7,stay,0.6537160000007134,89
8,stay,0.6236830999987433,73
9,stay,0.6409757999936119,63
10,stay,0.7850380000018049,60
11,leave,1.0211586999939757,0
12,stay,0.8480522000027122,91
13,stay,1.053068399996846,85
14,stay,1.255501199993887,75
15,stay,0.7302976999926614,66
16,stay,0.923429499991471,54
17,stay,0.784652600006666,49
18,leave,0.4019912000076147,0
19,stay,0.6479449000034947,97
20,stay,0.7308130000019446,86
21,stay,1.2734737999999195,80
22,stay,0.8140764999989187,70
23,stay,0.7430739000119502,52
24,stay,0.722214300010819,45
25,leave,0.4388124000106472,0
26,stay,0.7600977999973111,97
27,stay,0.7159324000094784,87
28,stay,0.7008969000016805,79
29,stay,1.012379299994791,61
30,stay,1.0563079999992624,52
31,stay,0.8410781999991741,47
32,leave,0.7199089999921853,0
33,stay,0.8184627000009641,99
34,stay,1.14344689999416,83
35,stay,0.6646145999984583,75
36,stay,0.8627591999975266,61
37,leave,0.8029812999884598,0
38,stay,0.6516414000070654,97
39,stay,0.691260899999179,90
40,stay,0.6779888000019128,79
41,stay,0.6631014000013238,63
42,leave,0.5479569000017364,0
43,stay,1.0436103999963962,99
44,stay,0.6678176999994321,84
45,stay,0.7070908000023337,74
46,leave,0.62496229998942,0
47,stay,0.8060048000043025,95
48,stay,0.5621070999914082,89
49,stay,0.924226599992835,76
50,leave,1.2950032999942778,0
51,stay,0.4300072000041837,93
52,stay,0.8229301999963354,82
53,stay,0.8366148000059184,74
54,stay,0.6168657999951392,69
55,leave,0.4298041000001831,0
56,stay,0.4629325999994762,99
57,stay,0.4870115000085206,87
58,stay,0.5538199000002351,71
59,stay,0.8147704000002705,63
60,stay,0.7126609999977518,56
61,leave,0.7298024000047008,0
62,stay,1.2192024999967543,92
63,stay,0.5832826999976533,84
