epoch_index,decision,reaction_time,reward
0,stay,0.6883884999842849,94
1,stay,5.296787200000836,83
2,stay,0.9469891999906396,75
3,stay,1.0423655999766197,63
4,stay,1.2251308000122665,60
5,stay,0.5605307999940123,48
6,stay,0.455214400019031,34
7,stay,0.4509620000026189,23
8,stay,0.6130743999965489,13
9,stay,0.8640546000096947,5
10,leave,1.0414175000041723,0
11,stay,0.6559382999839727,95
12,stay,0.4138249999959953,88
13,stay,0.4351055000151973,76
14,stay,0.4503427000017836,69
15,stay,0.4144102999998722,57
16,stay,0.4177555000060238,49
17,stay,0.5718285000184551,35
18,stay,0.4873997000104282,30
19,stay,0.4468585999857168,17
20,leave,0.5944364999886602,0
21,stay,0.4794433000206481,98
22,stay,0.5142259999993257,83
23,stay,0.5700025999976788,74
24,stay,0.8035800000070594,68
25,stay,0.5425475999945775,60
26,stay,0.4746653999900445,47
27,stay,0.4310130999947432,39
28,leave,0.4518449000024702,0
29,stay,0.8196680000110064,95
30,stay,0.466837799991481,89
31,stay,0.4620060999877751,73
32,stay,0.5156000000133645,62
33,stay,0.3842495000280905,56
34,stay,0.3629718000011053,44
35,stay,0.470258899993496,34
36,stay,0.597116199991433,29
37,stay,0.4362622000044212,13
38,stay,0.5557104000181425,2
39,stay,0.3667629999981727,0
40,stay,0.4529406999936327,0
41,stay,0.346349100000225,0
42,stay,0.3558989000157453,0
43,stay,0.5365679000096861,0
44,stay,0.3927707000111695,0
45,stay,0.416647699981695,0
46,stay,0.4217938000219874,0
47,leave,0.4145047999918461,0
48,stay,0.6913716999988537,98
49,stay,0.7599492000008468,89
50,stay,0.5621395999914967,74
51,stay,0.5362624000117648,62
52,stay,0.4385533999884501,57
53,stay,0.3917050999880302,49
54,stay,0.4720538000110537,34
55,leave,0.5108545999974012,0
56,stay,0.4156053000187967,98
57,stay,0.3782509999873582,81
58,stay,0.3833558000042103,77
59,stay,0.8871579999977257,65
60,stay,0.2871670000022277,56
61,stay,0.5182167000020854,50
62,stay,0.6221742000197992,38
63,leave,0.5752068999863695,0
64,stay,0.5396063000080176,100
65,stay,0.5539544000057504,82
