epoch_index,decision,reaction_time,reward
0,stay,0.6575418000575155,183
1,stay,0.6898859000066295,167
2,stay,0.5184106999076903,155
3,stay,0.5225077999057248,138
4,stay,0.4487231000093743,109
5,stay,0.5693745999597013,88
6,leave,0.4886182999471202,0
7,stay,0.8682976000709459,182
8,stay,0.5576031999662519,169
9,stay,0.4888875000178814,143
10,stay,0.487796000088565,133
11,leave,0.4590801999438554,0
12,stay,0.5098641999065876,184
13,stay,0.4643533000489697,180
14,stay,0.6221931000472978,157
15,stay,0.5537229001056403,122
16,stay,0.5031180999940261,104
17,leave,0.7460304000414908,0
18,stay,0.5297937999712303,188
19,stay,0.5446853999746963,179
20,stay,0.5041499000508338,154
21,stay,0.4942883000476286,129
22,leave,0.7194258000236005,0
23,stay,0.5218244000570849,182
24,stay,0.4261740000220015,175
25,stay,0.5529302000068128,156
26,stay,0.4766918999375775,140
27,stay,0.6323878999100998,104
28,leave,0.4448511000955477,0
29,stay,0.5646330999443308,199
30,stay,0.5802238000323996,175
31,stay,2.404686599969864,147
32,stay,0.8172689999919385,124
33,leave,0.5312221000203863,0
34,stay,0.5642217999557033,197
35,stay,0.4660673999460414,177
36,stay,0.665069599985145,155
37,stay,0.8089393998961896,127
38,leave,0.4345638999948278,0
39,stay,0.516755299991928,195
40,stay,0.5786094999639317,178
41,stay,0.4752854000544175,144
42,stay,0.5435982999624684,130
43,leave,0.8222076999954879,0
44,stay,0.4205710000824183,198
45,stay,0.5118780999910086,161
46,stay,0.5378830999834463,154
47,stay,0.4392006000271067,123
48,stay,0.3649916000431403,106
49,leave,0.7593635000521317,0
50,stay,0.5046611999860033,187
51,stay,0.417759699979797,179
52,stay,0.6441046999534592,154
53,stay,0.5192237000446767,128
54,stay,0.6673840000294149,103
55,leave,0.4937393000582233,0
56,stay,0.3548401000443846,197
57,stay,0.6858139999676496,168
58,stay,0.4625864999834448,154
59,stay,0.3414569000015035,127
60,stay,0.3367238000500947,120
61,leave,1.117772400029935,0
62,stay,0.6589073000941426,183
63,stay,0.5553548999596387,161
64,stay,0.6221005000406876,153
65,stay,0.5387211999623105,131
66,stay,0.4899539001053199,110
67,leave,0.4929161999607458,0
68,stay,0.420146599994041,197
69,stay,0.5761227000039071,165
70,stay,0.4458132000872865,152
71,stay,0.5564538000617176,127
72,stay,0.441329300054349,114
73,stay,0.4515321999788284,87
74,leave,0.552540700067766,0
75,stay,0.4976747999899089,185
76,stay,0.4549818999366835,178
77,stay,0.5916796999517828,155
78,stay,0.564265500055626,138
79,stay,0.5385933000361547,101
80,leave,0.6740191000280902,0
81,stay,0.4984314000466838,187
82,stay,0.4187146999174729,167
83,stay,0.5229753000894561,157
84,stay,0.3466161999385804,135
