epoch_index,decision,reaction_time,reward
0,stay,1.6012095000041882,99
1,stay,1.4594032000022708,90
2,stay,1.7214256000006571,80
3,stay,1.5289036000031049,70
4,stay,1.6807659000041897,60
5,leave,0.99417090001225,0
6,stay,1.008937299993704,95
7,stay,1.1092254999966826,87
8,stay,1.2964676999981748,76
9,stay,0.9253060000046388,65
10,stay,0.9037750999996206,59
11,leave,1.1262518000003183,0
12,stay,1.2272163000016008,98
13,stay,1.1574817999935476,86
14,stay,0.7622414000070421,74
15,stay,1.2103192999929888,66
16,stay,1.0815696000063326,56
17,stay,1.022640399998636,47
18,stay,0.9349246000056156,35
19,leave,1.2301410000072792,0
20,stay,1.5672071000008143,98
21,stay,0.6532360999990487,87
22,stay,0.70972700000857,71
23,stay,0.7945164999982808,62
24,stay,0.8855958999920404,53
25,leave,0.8788827999960631,0
26,stay,0.8326630999945337,96
27,stay,0.678513999999268,87
28,stay,0.966125099992496,73
29,stay,0.6984007999999449,70
30,stay,0.6200872999907006,54
31,stay,0.8262107999908039,46
32,leave,0.6402830000006361,0
33,stay,0.6353578999987803,100
34,stay,0.5936670999944909,87
35,stay,0.9467660000082104,75
36,stay,0.8272563999926206,61
37,stay,0.8818575000041164,57
38,stay,0.7614463000063552,43
39,stay,0.975367000006372,37
40,stay,0.4738078000082169,25
41,leave,0.9909891999996034,0
42,stay,0.5298464000079548,95
43,stay,0.7588090000062948,81
44,stay,0.5744726999982959,74
45,stay,0.7724078000028385,61
46,stay,0.5931504000036512,58
47,stay,1.0154872999992222,45
48,stay,0.6576685000036377,33
49,leave,1.3284374000068055,0
50,stay,0.6169694999989588,100
51,stay,0.785540700002457,88
52,stay,1.3131270000012591,76
53,stay,0.734013799999957,68
54,stay,0.7194287000020267,53
55,stay,0.5048151999944821,43
56,stay,0.6435361000039848,36
57,stay,0.7112744000041857,29
58,leave,0.6052110999880824,0
59,stay,0.7678645999985747,98
