epoch_index,decision,reaction_time,reward
0,stay,0.6723149999888847,93
1,stay,1.1195953999995254,86
2,stay,0.9700677000073484,72
3,stay,0.767547099996591,62
4,stay,0.7056795999960741,54
5,stay,0.72206179999921,43
6,leave,0.6100406000041403,0
7,stay,0.565682000000379,94
8,stay,0.7290694000112126,85
9,stay,0.777561599999899,76
10,stay,0.5411171999876387,67
11,stay,0.8105515000061132,58
12,stay,0.5069863999960944,42
13,leave,0.5757237000070745,0
14,stay,0.416459499989287,96
15,stay,0.5214020999992499,86
16,stay,0.4932837999949697,72
17,stay,0.5646691000001738,62
18,stay,0.6940202999976464,59
19,stay,0.7939807000075234,50
20,stay,0.6546452000038698,31
21,leave,1.0990806999907363,0
22,stay,0.7231078000040725,93
23,stay,0.7309714000002714,86
24,stay,0.7762346000090474,76
25,stay,0.5448055000015302,68
26,stay,0.513860700011719,54
27,leave,0.5088443999993615,0
28,stay,0.5529729999980191,96
29,stay,0.4671481999976095,83
30,leave,0.4911377999960677,0
31,stay,0.4320097000017995,98
32,stay,0.5743261000025086,84
33,stay,0.4373772999970242,74
34,stay,0.457132299998193,65
35,stay,0.5592967999982648,55
36,leave,0.4400632000033511,0
37,stay,0.4850789999909466,92
38,stay,0.8117780000029597,81
39,stay,0.7904103999899235,73
40,stay,0.5237989000015659,63
41,leave,0.5234929999860469,0
42,stay,0.466992300003767,97
43,stay,0.7214320000057342,84
44,stay,0.5506687000015518,76
45,leave,0.4111574999988079,0
46,stay,0.5216983999998774,94
47,stay,0.4243902000016533,82
48,stay,0.4387950999953318,77
49,stay,0.6645315000059782,63
50,leave,1.0713288999977522,0
51,stay,0.9943430999992416,92
52,stay,0.6900703999999678,90
53,leave,0.6324342000007164,0
54,stay,0.4073192000068957,92
55,stay,0.4838317999965511,81
56,stay,0.4381123000057414,79
57,stay,0.4306210999930044,69
58,leave,0.6620813000045018,0
59,stay,0.4469567000051029,100
60,stay,0.4732834000024013,81
61,stay,0.4682611000025645,80
62,stay,0.4135067000024719,62
63,leave,0.7361653999978444,0
64,stay,0.5467768000089563,93
65,stay,0.5404542000032961,85
66,stay,0.8273990000016056,75
67,stay,0.5240621999982977,65
68,leave,0.5952936999965459,0
69,stay,0.6215189999929862,96
70,stay,0.6619053000031272,87
71,stay,0.540422199992463,79
72,leave,0.5187724999996135,0
73,stay,0.4905414999957429,100
74,stay,0.5444366000010632,82
