epoch_index,decision,reaction_time,reward
0,stay,0.581249700000626,189
1,stay,0.525930599993444,162
2,stay,0.5498844999965513,159
3,stay,0.4507225999986985,124
4,stay,0.4891861999931279,107
5,stay,0.4073582999990321,100
6,stay,0.4719766000052914,62
7,stay,0.4017975000024307,59
8,leave,0.5779212000052212,0
9,stay,1.5294848999910755,200
10,stay,0.6458473999955459,179
11,stay,0.429701599990949,151
12,stay,0.3888592000002973,139
13,stay,0.5394455999921774,104
14,stay,0.4558171000098809,94
15,leave,0.4588090000033844,0
16,stay,0.5591310000017984,198
17,stay,0.6518899999937275,174
18,stay,0.5553684000042267,156
19,stay,0.4783335999964038,137
20,stay,0.3959417000005487,111
21,stay,0.5339175999979489,94
22,stay,0.5110424000013154,77
23,leave,0.6571476999961305,0
24,stay,0.4485971999965841,187
25,stay,0.3872322999959579,180
26,stay,0.7576937999983784,156
27,stay,0.4413521000096807,121
28,stay,0.419606700001168,103
29,stay,0.6509080000105314,88
30,stay,0.6009774999984074,62
31,stay,0.4905767000018386,56
32,leave,0.6602691000007326,0
33,stay,0.7111238000070443,198
34,stay,0.4981292999873403,162
35,stay,0.5317981999978656,149
36,stay,0.5850822999927914,125
37,stay,0.6458518999861553,113
38,stay,0.5362110999994911,84
39,stay,0.3942556999973021,72
40,leave,0.7678110999986529,0
41,stay,0.4127586999966297,192
42,stay,0.5343964000057895,166
43,stay,0.4093925000051968,149
44,stay,0.3711219999968307,132
45,stay,0.5456000000122003,105
46,stay,0.4836374999867985,87
47,leave,0.7451475999987451,0
48,stay,0.4295250000141095,195
49,stay,0.4502572000055806,179
50,stay,0.5433615000074496,146
51,stay,0.5414631999883568,130
52,stay,0.5993409999937285,116
53,stay,0.5678289999923436,99
54,stay,0.3625403000041842,64
55,leave,0.5836304999975255,0
56,stay,0.5310778999992181,192
57,stay,0.6354521999892313,172
58,stay,0.4748789000004763,154
59,stay,0.4174247000046307,132
60,stay,0.4114804999990156,111
61,stay,0.4325074999942444,89
62,stay,0.5115225999907125,71
63,leave,0.5229862999985926,0
64,stay,0.4828607000090414,186
65,stay,0.4481276000005891,178
66,stay,0.3734823999984655,145
67,stay,0.4815357999905245,136
68,stay,0.5097502000135137,107
69,stay,0.3523923000029754,81
70,stay,0.4540288999996846,63
71,leave,0.4524155999970389,0
72,stay,0.433056599998963,198
73,stay,0.3378045000135898,170
74,stay,0.4233138999989023,142
75,stay,0.3407101000047987,132
76,stay,0.3628779999999096,118
77,stay,0.3221737999992911,89
78,stay,0.374419299987494,73
79,leave,0.3889341000030981,0
80,stay,0.7642937999917194,193
81,stay,0.4237150999979349,170
82,stay,0.3905689999955939,142
83,stay,0.3392267000017455,129
84,stay,0.2908268999890424,112
85,stay,0.2682038000057218,83
86,stay,0.3843077999918023,63
87,leave,1.9767130999971412,0
88,stay,0.2643793000024743,200
89,stay,0.3366150999936508,171
