epoch_index,decision,reaction_time,reward
0,stay,3.022977399999945,100
1,stay,0.8985318999984884,88
2,stay,0.7994933000009041,73
3,stay,0.6050092999994376,63
4,stay,0.6600127000001521,51
5,stay,0.6197181999996246,47
6,leave,0.6940150000009453,0
7,stay,0.7393873000000895,98
8,stay,0.5617931999986467,88
9,stay,0.8541905000001861,72
10,stay,0.5852383000001282,64
11,stay,0.5636318000015308,55
12,leave,0.5338905000007799,0
13,stay,0.5506451000001107,97
14,stay,0.6929173000007722,82
15,stay,0.4939474999991944,77
16,stay,0.8411099000004469,68
17,stay,0.4761973000004218,52
18,leave,1.1688753999987966,0
19,stay,0.554240800000116,97
20,stay,0.7912250000008498,82
21,stay,0.5712683999990986,78
22,stay,0.6574786999990465,65
23,stay,0.7895262000001821,51
24,leave,0.4648379999998724,0
25,stay,0.5875513999999384,97
26,stay,0.4922353999991173,81
27,stay,0.7137579999998707,77
28,leave,1.7976503999998386,0
29,stay,0.53793880000012,91
30,stay,1.0486951000002591,83
31,stay,0.7841750999996293,74
32,stay,1.704133200000797,63
33,stay,2.6954613999987487,55
34,leave,0.873656600000686,0
35,stay,1.0129247999993822,96
36,stay,2.467314499999702,86
37,stay,1.7466216000011627,79
38,stay,1.6520287999992431,62
39,leave,2.3095115999985865,0
40,stay,0.9674154999993334,92
41,stay,0.6793466000017361,90
42,stay,2.0373987999992096,79
43,stay,0.6234323999997287,64
44,leave,0.9028014000014082,0
45,stay,0.5281785000006494,94
46,stay,0.836803999998665,86
47,stay,0.844839299999876,72
48,stay,0.9421456000000036,69
49,leave,2.8193680999993376,0
50,stay,1.983738999999332,96
51,stay,0.7666071000003285,85
52,stay,0.8060670999984723,75
53,stay,1.1307871999997587,69
54,stay,1.190016900000046,55
55,leave,0.5807072999996308,0
56,stay,0.7733898000005865,96
57,stay,1.3729767000004358,88
58,stay,0.5032222999998339,73
59,stay,0.9053297999998904,68
60,stay,0.8706498999999894,52
61,stay,0.6622642999991513,43
