epoch_index,decision,reaction_time,reward
0,stay,0.5907971999995425,183
1,stay,0.510084900000038,180
2,stay,0.3532004999997298,142
3,stay,0.3564532000000326,126
4,stay,0.6014199999999619,115
5,stay,0.3468103000004703,83
6,stay,0.4977431000006618,72
7,leave,0.7784934000001158,0
8,stay,0.5842118000000482,191
9,stay,0.4109424999996918,177
10,stay,0.4337636000000202,148
11,stay,0.5582575999997061,138
12,stay,0.4206507999997484,109
13,stay,0.3628914999999324,93
14,leave,0.9766553999997996,0
15,stay,0.3611588000003394,188
16,stay,0.64259790000051,172
17,stay,0.5889343999997436,158
18,stay,0.7796121000001222,140
19,stay,0.5848771000000852,109
20,stay,0.4435328999998091,87
21,leave,0.4433366000002934,0
22,stay,0.5404045000004771,200
23,stay,0.5638756999996986,178
24,stay,0.5978384999998525,151
25,stay,0.5621854000000894,128
26,stay,0.6104261999998926,116
27,stay,0.3838868000002549,91
28,leave,0.547432999999728,0
29,stay,0.614904099999876,186
30,stay,0.4764627000004111,179
31,stay,0.3936657000003833,143
32,stay,0.4317039999996268,124
33,stay,0.6303985999993529,103
34,leave,0.5622213000006013,0
35,stay,0.6650306999999884,182
36,stay,0.4053789999998116,169
37,stay,0.3748611999999411,152
38,stay,0.4515200999994704,132
39,stay,0.5697855999997046,116
40,leave,0.4946824999997261,0
41,stay,0.5240640000001804,196
42,stay,1.038245499999903,162
43,stay,0.705266599999959,147
44,leave,0.4176870000001145,0
45,stay,0.3171372999995583,194
46,stay,0.3979633999997531,176
47,stay,0.4063470999999481,156
48,stay,0.5136600000005274,140
49,stay,0.3547678000004453,104
50,leave,0.6637938999992912,0
51,stay,0.3452974000001632,185
52,stay,0.4314400999992358,169
53,stay,0.4413210000002436,156
54,stay,0.7288693999998941,121
55,stay,0.4604558999999426,109
56,leave,0.5646543000002566,0
57,stay,0.6516497000002346,193
58,stay,0.4223124999998617,172
59,stay,0.4505784000002677,142
60,stay,0.4999330000000554,136
61,stay,0.3940761000003476,113
62,leave,0.4318327000000863,0
63,stay,0.4041161000004649,190
64,stay,0.3436897999999928,176
65,stay,0.5775424999992538,149
66,stay,0.3265536999997493,127
67,stay,0.5911623000001782,110
68,leave,0.5247188999992431,0
69,stay,0.3463607999992746,187
70,stay,0.3736721000004763,164
71,stay,0.2967868999994607,141
72,stay,0.2747402000004513,140
73,stay,0.2975771999999779,105
74,stay,0.637943699999596,89
75,leave,0.4968274000002566,0
76,stay,0.5243845999993937,197
77,stay,0.6102774000000863,171
78,stay,0.6360634000002392,151
79,stay,0.3915950000000521,136
80,stay,0.414473399999224,116
81,stay,0.7205791000005775,95
82,leave,0.6161818000000494,0
83,stay,0.53506280000056,189
84,stay,0.3824486000003162,169
85,stay,0.3367049999997107,154
86,stay,0.3596348000000944,138
87,stay,0.4248287000000346,105
88,leave,0.4905879999996614,0
89,stay,0.5657101999995575,197
