epoch_index,decision,reaction_time,reward
0,stay,1.091324199999974,93
1,stay,0.5424258999999552,83
2,stay,0.6360664999999699,75
3,stay,0.5260971999999811,68
4,stay,0.5106435000000147,60
5,stay,0.3590546000000358,47
6,leave,0.3719634000000269,0
7,stay,0.7662649000000101,96
8,stay,0.3682399000000487,88
9,stay,0.5141025000000354,73
10,stay,0.4325337999999874,66
11,stay,0.4107417999999825,56
12,stay,0.4883589999999458,41
13,leave,0.3900061000000505,0
14,stay,0.5144452000000683,100
15,stay,0.4724139999999579,83
16,stay,0.4842085999999881,71
17,stay,0.3680441000000201,62
18,stay,0.677989299999922,54
19,stay,0.5991255999999794,46
20,leave,0.6296482000000196,0
21,stay,0.5858872000000019,98
22,stay,0.4018486999999595,89
23,stay,0.4541828000000123,71
24,stay,0.5015212000000702,65
25,stay,0.3230028000000402,53
26,leave,0.6073310000000447,0
27,stay,0.4426148999999668,92
28,stay,0.4954752999999527,83
29,stay,0.4491462999999385,76
30,stay,0.3621909999999388,66
31,stay,0.4474066999999877,57
32,stay,0.3194568000000117,47
33,leave,0.5667310000000043,0
34,stay,0.3294091999999864,97
35,stay,0.3277057000000241,82
36,stay,0.4798518999999714,80
37,stay,0.4552872000000434,68
38,stay,0.5556728999999905,56
39,leave,0.5550776000000042,0
40,stay,0.5214641000000029,99
41,stay,0.5037068000000318,87
42,stay,0.6248775999999907,80
43,stay,0.5648011999999198,69
44,stay,0.4492371999999704,52
45,stay,0.3441672000000153,45
46,leave,0.3734453000000712,0
47,stay,0.3939508999999361,99
48,stay,0.3562872999999626,85
49,stay,0.3316932999999835,71
50,stay,0.3311596999999437,61
51,leave,0.71884620000003,0
52,stay,0.6068410999999969,96
53,stay,0.5770271000000093,89
54,stay,0.4970275000000583,73
55,stay,0.3734630000000152,66
56,stay,0.3840739000000894,55
57,stay,0.3781338999999661,49
58,stay,0.368436900000006,33
59,stay,0.3507906999999477,29
60,leave,0.399261200000069,0
61,stay,0.4016543000000183,91
62,stay,0.3614863999999897,84
63,stay,0.404239299999972,80
64,stay,0.4317748000000847,70
65,stay,0.3827393999999913,59
66,stay,0.3405612000000246,50
67,stay,0.4190129000000979,31
68,leave,0.5795613999999887,0
69,stay,0.5207188000000542,94
70,stay,0.4512391000000662,90
71,stay,0.302510600000005,80
72,stay,0.3928317999999535,62
73,stay,0.6079295999999204,53
74,stay,0.5552807999999914,48
75,stay,0.4317758000000822,39
76,stay,0.4052666999999701,26
77,leave,0.444985900000006,0
78,stay,0.2696472000000085,92
79,stay,0.5328422000000046,85
80,stay,0.5956116000000975,78
81,stay,0.5397957000000133,70
82,stay,0.5316088999999238,55
83,stay,0.4183679000000211,42
84,stay,1.141932900000029,32
85,leave,0.312621799999988,0
86,stay,0.4176253000000542,92
87,stay,0.2918903999999429,85
88,stay,0.297477200000003,71
89,stay,0.3696972999999843,62
90,leave,0.3212274999999636,0
91,stay,0.5606801999999789,97
92,stay,0.3136530000000448,90
93,stay,0.3849531999999271,76
94,stay,0.3648412000000007,65
95,leave,0.5462251999999808,0
