epoch_index,decision,reaction_time,reward
0,stay,1.0991756000148598,195
1,stay,0.5409336000157055,174
2,stay,0.6632202999899164,158
3,stay,0.5586318999994546,128
4,stay,0.3814226000104099,107
5,stay,0.4481855999911204,96
6,stay,0.527079399995273,66
7,stay,0.5215232000045944,54
8,leave,0.4653715000022203,0
9,stay,0.415904399997089,187
10,stay,0.7509622999932617,162
11,stay,0.5193302999832667,160
12,stay,0.4232725000183563,135
13,stay,0.4472344999958295,118
14,stay,0.4573850000160746,90
15,stay,0.3626872000168077,77
16,stay,0.3808303000114392,51
17,stay,0.3925509999971837,26
18,leave,0.5908779000164941,0
19,stay,0.9089427999861072,190
20,stay,0.4275407000095583,165
21,stay,0.46763580001425,155
22,stay,0.5555512999999337,130
23,stay,1.0488596000068355,114
24,stay,0.4036740000010468,85
25,stay,0.5857609000231605,62
26,stay,0.5315265999815892,57
27,leave,0.5491142999962904,0
28,stay,0.6176829000178259,187
29,stay,0.4048063000082038,175
30,stay,0.515151200001128,150
31,stay,0.3476169999921694,126
32,stay,0.4205231000087224,117
33,stay,0.3150935000157915,98
34,stay,0.4698157999955583,71
35,leave,0.4464872000098694,0
36,stay,0.4874870000057854,187
37,stay,0.50109770000563,161
38,stay,0.5186315000173636,148
39,stay,0.5937636999879032,136
40,stay,0.453672200004803,102
41,stay,0.717211999988649,83
42,leave,0.5310854999988806,0
43,stay,0.4342100000067148,189
44,stay,0.6576971000176854,161
45,stay,0.4673489000124391,147
46,stay,0.4507949000108056,140
47,stay,0.5444458999845665,101
48,stay,0.6356130000203848,97
49,stay,0.5583809000090696,63
50,leave,0.4951480000163428,0
51,stay,0.4294844999967608,197
52,stay,0.3359261000005062,170
53,stay,0.4130051999818533,149
54,stay,0.442827999999281,128
55,stay,0.4569469999987632,102
56,stay,0.6177299999981187,97
57,stay,0.4566663000150583,66
58,leave,0.5304306999896653,0
59,stay,0.6885300999856554,199
60,stay,0.546579899993958,175
61,stay,0.4590001000033226,160
62,stay,0.4222959000035189,137
63,stay,0.4059826000011526,108
64,stay,0.4682019999891054,88
65,stay,0.4441672000102699,62
66,leave,0.5005795000179205,0
67,stay,0.3786882999993395,181
68,stay,0.4612821000046097,162
69,stay,0.3893748000264168,151
70,stay,0.6679684999980964,128
71,stay,0.3794170999899506,113
72,stay,0.4475751999998465,83
73,stay,0.3789755000034347,62
74,leave,0.3868542999844067,0
75,stay,0.4549871000053826,196
76,stay,0.4271559999906458,179
77,stay,0.4319094999809749,155
78,stay,0.3847952999931294,127
79,stay,0.4525795000081416,118
80,stay,0.3480154999997467,93
81,stay,0.4141393999743741,76
82,stay,0.3471706999989692,55
83,stay,0.4255501999869011,34
84,stay,0.3447423999896273,6
85,stay,0.3883859000052325,0
86,leave,0.4886105000041425,0
87,stay,0.5216944999992847,193
88,stay,0.3849292999948375,164
89,stay,0.3815928999974858,146
90,stay,0.3759205999958794,124
